Add to Quantity,Product Name,Set Name,Printing,Condition,Language,TCGplayer Id,TCG Marketplace Price,Lot,Product Line,Title,Number,Rarity,TCG Market Price,TCG Direct Low,TCG Low Price With Shipping,TCG Low Price,Total Quantity,Photo URL
1,Goblin Blast-Runner,The Brothers' War,Foil,Near Mint Foil,English,6704696,0.17,82,Magic,,,,,,,,,
1,Simian Spirit Guide,Time Spiral: Remastered,Normal,Near Mint,English,4806426,1.12,82,Magic,,,,,,,,,
4,Expedite,Battlebond,Normal,Near Mint,English,3750949,0.18,82,Magic,,,,,,,,,
2,Blazing Salvo,Odyssey,Normal,Near Mint,English,22255,0.16,82,Magic,,,,,,,,,
1,Enslaved Dwarf,Torment,Normal,Near Mint,English,22474,0.3,82,Magic,,,,,,,,,
4,Stingmoggie,Morningtide,Normal,Near Mint,English,115799,0.15,82,Magic,,,,,,,,,
1,Seize the Spoils,Kaldheim,Normal,Near Mint,English,4708938,0.26,82,Magic,,,,,,,,,
1,Bearded Axe,Kaldheim,Normal,Near Mint,English,4693247,0.15,82,Magic,,,,,,,,,
1,Gates Ablaze,Ravnica Allegiance,Normal,Near Mint,English,3943610,0.15,82,Magic,,,,,,,,,
1,Cavalcade of Calamity,Ravnica Allegiance,Normal,Near Mint,English,3949183,0.18,82,Magic,,,,,,,,,
2,Reinforced Ronin,Kamigawa: Neon Dynasty,Normal,Near Mint,English,5417398,0.12,82,Magic,,,,,,,,,
1,Kumano Faces Kakkazan,Kamigawa: Neon Dynasty,Normal,Near Mint,English,5413508,0.49,82,Magic,,,,,,,,,
1,Experimental Synthesizer,Kamigawa: Neon Dynasty,Normal,Near Mint,English,5415708,0.34,82,Magic,,,,,,,,,
1,Kessig Flamebreather,Innistrad: Crimson Vow,Normal,Near Mint,English,5277722,1.07,82,Magic,,,,,,,,,
1,End the Festivities,Innistrad: Crimson Vow,Normal,Near Mint,English,5289703,0.97,82,Magic,,,,,,,,,
1,_____ Goblin,Unfinity,Normal,Near Mint,English,5838439,0.68,82,Magic,,,,,,,,,
1,Gleeful Demolition,Phyrexia: All Will Be One,Normal,Near Mint,English,6942396,0.94,82,Magic,,,,,,,,,
1,"Tibalt, Rakish Instigator",War of the Spark,Normal,Near Mint,English,3989436,0.18,82,Magic,,,,,,,,,
1,Bolt Bend,War of the Spark,Normal,Near Mint,English,4001330,2.07,82,Magic,,,,,,,,,
1,Mine Collapse,Modern Horizons 2,Normal,Near Mint,English,5001091,0.05,82,Magic,,,,,,,,,
1,Cast into the Fire,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,Normal,Near Mint,English,7164675,0.36,82,Magic,,,,,,,,,
1,Wrenn's Resolve,March of the Machine,Normal,Near Mint,English,7088943,1.16,82,Magic,,,,,,,,,
1,Lithomantic Barrage,March of the Machine,Normal,Near Mint,English,7059968,0.43,82,Magic,,,,,,,,,
3,Skirk Prospector,Dominaria Remastered,Normal,Near Mint,English,6843201,0.14,82,Magic,,,,,,,,,
5,Grapeshot,Dominaria Remastered,Normal,Near Mint,English,6796126,0.12,82,Magic,,,,,,,,,
2,Goblin Matron (Retro Frame),Dominaria Remastered,Normal,Near Mint,English,6860196,0.09,82,Magic,,,,,,,,,
4,Empty the Warrens,Dominaria Remastered,Normal,Near Mint,English,6796016,0.09,82,Magic,,,,,,,,,
1,Empty the Warrens (Retro Frame),Dominaria Remastered,Normal,Near Mint,English,6799704,0.07,82,Magic,,,,,,,,,
4,Guttersnipe,Core Set 2019,Normal,Near Mint,English,3761513,0.19,82,Magic,,,,,,,,,
8,Goblin Instigator,Core Set 2019,Normal,Near Mint,English,3744061,0.16,82,Magic,,,,,,,,,
1,Unleash Fury,Core Set 2021,Normal,Near Mint,English,4464520,0.36,82,Magic,,,,,,,,,
1,Fathom Fleet Swordjack,Commander Legends,Normal,Near Mint,English,4666550,0.19,82,Magic,,,,,,,,,
1,Twinferno,Dominaria United,Normal,Near Mint,English,5761762,0.17,82,Magic,,,,,,,,,
4,Lightning Strike,Dominaria United,Normal,Near Mint,English,5746111,0.1,82,Magic,,,,,,,,,
2,Heartfire Immolator,Core Set 2021,Normal,Near Mint,English,4450106,0.03,82,Magic,,,,,,,,,
3,Crash Through,Core Set 2021,Normal,Near Mint,English,4470355,0.1,82,Magic,,,,,,,,,
2,Swashbuckler Extraordinaire,Commander Legends: Battle for Baldur's Gate,Normal,Near Mint,English,5627847,0.16,82,Magic,,,,,,,,,
4,Patron of the Arts,Commander Legends: Battle for Baldur's Gate,Normal,Near Mint,English,5636144,0.14,82,Magic,,,,,,,,,
1,Reckless Barbarian,Commander Legends: Battle for Baldur's Gate,Normal,Near Mint,English,5636444,0.18,82,Magic,,,,,,,,,
2,Ingenious Artillerist,Commander Legends: Battle for Baldur's Gate,Normal,Near Mint,English,5634744,0.26,82,Magic,,,,,,,,,
