Reimbursement Invoices MUST be shipped in the order listed on the RI Packing Slip
Card Name,Set Name,Rarity,Number,Color,Condition,Quantity
"Drivnod, Carnage Dominus","Phyrexia: All Will Be One","M","90","Black","Near Mint","1"
"Ichormoon Gauntlet","Phyrexia: All Will Be One","M","56","Blue","Near Mint","1"
"Mirrex","Phyrexia: All Will Be One","R","254","Colorless","Near Mint","2"
"Nissa, Ascended Animist (Borderless)","Phyrexia: All Will Be One","M","339","Green","Near Mint","1"
"Phyrexian Obliterator","Phyrexia: All Will Be One","M","105","Black","Near Mint","1"
"Vraan, Executioner Thane","Phyrexia: All Will Be One","R","114","Black","Near Mint","1"
"Zopandrel, Hunger Dominus","Phyrexia: All Will Be One","M","195","Green","Near Mint","1"
"Awaken the Woods","The Brothers' War","M","170","Green","Near Mint","1"
"Diabolic Intent","The Brothers' War","R","89","Black","Near Mint","2"
"Gix, Yawgmoth Praetor","The Brothers' War","M","95","Black","Near Mint","1"
"Teferi, Temporal Pilgrim","The Brothers' War","M","66","Blue","Near Mint","1"
"Underground River (Borderless)","The Brothers' War","R","300","Colorless","Near Mint","1"
"Karplusan Forest (Borderless)","Dominaria United","R","379","Colorless","Near Mint","2"
"Liliana of the Veil (Borderless)","Dominaria United","M","373","Black","Near Mint","1"
"Nishoba Brawler","Dominaria United","U","174","Green","Near Mint","2"
"Shivan Reef (Borderless)","Dominaria United","R","380","Colorless","Near Mint","2"
"Sulfurous Springs (Borderless)","Dominaria United","R","381","Colorless","Near Mint","1"
"Thran Portal (Extended Art)","Dominaria United","R","422","Colorless","Near Mint","1"
"Eiganjo, Seat of the Empire","Kamigawa: Neon Dynasty","R","268","Colorless","Near Mint","1"
"Otawara, Soaring City","Kamigawa: Neon Dynasty","R","271","Colorless","Near Mint","1"
"Reckoner Bankbuster","Kamigawa: Neon Dynasty","R","255","Colorless","Near Mint","1"
"Takenuma, Abandoned Mire","Kamigawa: Neon Dynasty","R","278","Colorless","Near Mint","1"
"Weaver of Harmony","Kamigawa: Neon Dynasty","R","213","Green","Near Mint","1"
"Garruk's Uprising","Core Set 2021","U","186","Green","Near Mint","1"
"Emry, Lurker of the Loch","Throne of Eldraine","R","43","Blue","Near Mint","1"
"Rhythm of the Wild","Ravnica Allegiance","U","201","Green;Red","Near Mint","1"
"Grow from the Ashes","Dominaria","C","164","Green","Near Mint","1"
"Curious Obsession","Rivals of Ixalan","U","35","Blue","Near Mint","1"
"Monastery Mentor","Fate Reforged","M","20","White","Near Mint","1"
"Heroes' Bane","Journey Into Nyx","R","126","Green","Near Mint","1"
"Ring of Kalonia","Magic 2013 (M13)","U","212","Colorless","Near Mint","1"
"Swamp (293)","Lorwyn","L","293","Colorless","Near Mint","1"
"Necropotence","Fifth Edition","R","","Black","Near Mint","1"
"Swamp (A)","Revised Edition","L","299","","Near Mint","1"
"Wrathful Red Dragon","Commander Legends: Battle for Baldur's Gate","R","207","Red","Near Mint","1"
"Port Razer","Commander Legends","M","193","Red","Near Mint","1"
"Sakashima of a Thousand Faces","Commander Legends","M","89","Blue","Near Mint","1"
"Tevesh Szat, Doom of Fools","Commander Legends","M","153","Black","Near Mint","1"
"Tevesh Szat, Doom of Fools (Borderless)","Commander Legends","M","512","Black","Near Mint","1"
"Taunt from the Rampart (Extended Art)","Commander: The Lord of the Rings: Tales of Middle-earth","R","151","Red;White","Near Mint","1"
"Birds of Paradise","Dominaria Remastered","R","151","Green","Near Mint","1"
"Exploration (Retro Frame)","Dominaria Remastered","R","339","Green","Near Mint","1"
"Island (404) (Retro Frame)","Dominaria Remastered","L","404","Colorless","Near Mint","1"
"Maze of Ith","Dominaria Remastered","R","250","Colorless","Near Mint","1"
"Nut Collector","Dominaria Remastered","M","171","Green","Near Mint","1"
"Sneak Attack","Dominaria Remastered","M","139","Red","Near Mint","1"
"Sneak Attack (Retro Frame)","Dominaria Remastered","M","331","Red","Near Mint","1"
"Sulfur Falls (Retro Frame)","Dominaria Remastered","R","400","Colorless","Near Mint","1"
"Urza's Incubator (Borderless)","Dominaria Remastered","M","453","Colorless","Near Mint","1"
"Vampiric Tutor (Borderless)","Dominaria Remastered","M","430","Black","Near Mint","1"
"Worldly Tutor (Borderless)","Dominaria Remastered","R","442","Green","Near Mint","1"
"Yawgmoth, Thran Physician (Borderless)","Dominaria Remastered","M","431","Black","Near Mint","1"
"Laboratory Maniac","Time Spiral: Remastered","S","309","Blue","Near Mint","1"
"Urborg, Tomb of Yawgmoth","Time Spiral: Remastered","R","287","Colorless","Near Mint","1"
"Delighted Halfling","Universes Beyond: The Lord of the Rings: Tales of Middle-earth","R","158","Green","Near Mint","2"
"Flowering of the White Tree","Universes Beyond: The Lord of the Rings: Tales of Middle-earth","R","15","White","Near Mint","2"
"Last March of the Ents","Universes Beyond: The Lord of the Rings: Tales of Middle-earth","M","172","Green","Near Mint","1"
"Last March of the Ents (Borderless)","Universes Beyond: The Lord of the Rings: Tales of Middle-earth","M","418","Green","Near Mint","1"
"Mount Doom","Universes Beyond: The Lord of the Rings: Tales of Middle-earth","M","258","Colorless","Near Mint","1"
"Nazgul (0336)","Universes Beyond: The Lord of the Rings: Tales of Middle-earth","U","336","Black","Near Mint","1"
"Orcish Bowmasters (Borderless)","Universes Beyond: The Lord of the Rings: Tales of Middle-earth","R","433","Black","Near Mint","1"
"The Shire","Universes Beyond: The Lord of the Rings: Tales of Middle-earth","R","260","Colorless","Near Mint","2"
"There and Back Again","Universes Beyond: The Lord of the Rings: Tales of Middle-earth","R","151","Red","Near Mint","1"
"Enchanted Evening","The List Reprints","R","140","Blue;White","Near Mint","1"
"Mind's Desire","Duel Decks: Mind vs. Might","R","4","Blue","Near Mint","1"
"Sea of Clouds","Zendikar Rising Expeditions","M","16","Colorless","Near Mint","1"
"Howlpack Resurgence","Shadows over Innistrad","U","211","Green","Lightly Played","1"
"Ghirapur Aether Grid","Magic Origins","U","148","Red","Lightly Played","1"
"Curse of Exhaustion","Dark Ascension","U","5","White","Lightly Played","2"
"Thought Scour","Dark Ascension","C","52","Blue","Lightly Played","1"
"Young Wolf","Dark Ascension","C","134","Green","Lightly Played","2"
"Delver of Secrets","Innistrad","C","51","Blue","Lightly Played","1"
"Beast Token","Magic 2012 (M12)","T","","","Lightly Played","2"
"Hunter's Insight","Magic 2012 (M12)","U","180","Green","Lightly Played","1"
"Llanowar Elves","Magic 2012 (M12)","C","182","Green","Lightly Played","1"
"Steady Progress","Scars of Mirrodin","C","45","Blue","Lightly Played","2"
"Spider Umbra","Rise of the Eldrazi","C","208","Green","Lightly Played","1"
"Golem-Skin Gauntlets","Mirrodin","U","181","Colorless","Lightly Played","1"
"Stand or Fall","Invasion","R","171","Red","Lightly Played","1"
"Plains (332)","Urza's Saga","L","332","Colorless","Lightly Played","1"
"Muck Rats","Portal Second Age","C","","Black","Lightly Played","1"
"Recall","Chronicles","U","","Blue","Lightly Played","1"
"Goblin Offensive","Planechase","U","56","Red","Lightly Played","1"
"Moonsilver Spear","Commander: Adventures in the Forgotten Realms","R","212","Colorless","Lightly Played","1"
"Myriad Landscape","Commander 2014","U","61","Colorless","Lightly Played","1"
"Pristine Talisman","Commander 2013","C","255","Colorless","Lightly Played","1"
"Blackcleave Cliffs","Phyrexia: All Will Be One","R","248","Black;Red","Near Mint Foil","1"
"Liliana of the Veil (Borderless)","Dominaria United","M","373","Black","Near Mint Foil","1"
"Sheoldred, the Apocalypse","Dominaria United","M","107","Black","Near Mint Foil","1"
"Sulfurous Springs","Dominaria United","R","256","Colorless","Near Mint Foil","2"
"Sulfurous Springs (Borderless)","Dominaria United","R","381","Colorless","Near Mint Foil","1"
"Hengegate Pathway","Kaldheim","R","260","Colorless","Near Mint Foil","1"
"Woe Strider (Extended Art)","Theros Beyond Death","R","317","Black","Near Mint Foil","1"
"Autumnal Gloom","Shadows over Innistrad","U","194","Green","Near Mint Foil","1"
"Mwonvuli Acid-Moss","Time Spiral","C","207","Green","Near Mint Foil","1"
"Luxury Suite","Commander Legends: Battle for Baldur's Gate","R","355","","Near Mint Foil","1"
"Spire Garden","Commander Legends: Battle for Baldur's Gate","R","361","","Near Mint Foil","1"
"Exploration","Dominaria Remastered","R","159","Green","Near Mint Foil","1"
"Mystical Tutor","Dominaria Remastered","R","60","Blue","Near Mint Foil","1"
"Sulfur Falls","Dominaria Remastered","R","258","Colorless","Near Mint Foil","1"
"Worldly Tutor","Dominaria Remastered","R","185","Green","Near Mint Foil","1"
"The One Ring (Borderless Poster)","Universes Beyond: The Lord of the Rings: Tales of Middle-earth","M","748","Colorless","Near Mint Foil","1"
"Patron of the Moon","The List Reprints","R","45","Blue","Near Mint Foil","2"
