Reimbursement Invoices MUST be shipped in the order listed on the RI Packing Slip
Card Name,Set Name,Rarity,Number,Color,Condition,Quantity
"Ixalli's Lorekeeper","The Lost Caverns of Ixalan","U","194","Green","Near Mint","1"
"Quintorius Kand","The Lost Caverns of Ixalan","M","238","Red;White;Colorless","Near Mint","1"
"Charming Scoundrel (Extended Art)","Wilds of Eldraine","R","345","Red","Near Mint","1"
"Not Dead After All","Wilds of Eldraine","C","101","Black","Near Mint","1"
"Emblem - Wrenn and Realmbreaker","March of the Machine","T","23","","Near Mint","1"
"Grimgrin, Corpse-Born","March of the Machine: Multiverse Legends","M","41","Black;Blue","Near Mint","1"
"Zopandrel, Hunger Dominus (Showcase)","Phyrexia: All Will Be One","M","315","Green","Near Mint","2"
"Phyrexian Dragon Engine","The Brothers' War","R","163","Colorless","Near Mint","1"
"Third Path Iconoclast","The Brothers' War","U","223","Blue;Red","Near Mint","2"
"Swiftfoot Boots","The Brothers' War: Retro Frame Artifacts","U","58","Colorless","Near Mint","1"
"Idyllic Beachfront","Dominaria United","L","249","Colorless","Near Mint","1"
"Resolute Reinforcements","Dominaria United","U","29","White","Near Mint","2"
"Sacred Peaks","Dominaria United","L","254","Colorless","Near Mint","1"
"Plains (273)","Streets of New Capenna","L","273","Colorless","Near Mint","1"
"Ziatora's Proving Ground","Streets of New Capenna","R","261","","Near Mint","1"
"Keimi Token","Kamigawa: Neon Dynasty","T","13","Black;Green","Near Mint","1"
"Kura, the Boundless Sky (Borderless)","Kamigawa: Neon Dynasty","M","411","Green","Near Mint","1"
"Lizard Blades (Extended Art)","Kamigawa: Neon Dynasty","R","468","Red","Near Mint","1"
"Plains (294) - JP Full Art","Kamigawa: Neon Dynasty","L","294","Colorless","Near Mint","1"
"Outland Liberator","Innistrad: Midnight Hunt","U","190","Green","Near Mint","2"
"Expressive Iteration","Strixhaven: School of Mages","U","186","Blue;Red","Near Mint","1"
"Natural Order","Strixhaven: Mystical Archives","M","54","Green","Near Mint","1"
"Snow-Covered Island (279)","Kaldheim","L","279","Colorless","Near Mint","1"
"Hooded Blightfang","Core Set 2021","R","104","Black","Near Mint","1"
"Opt","Core Set 2021","C","59","Blue","Near Mint","3"
"Speaker of the Heavens","Core Set 2021","R","38","White","Near Mint","1"
"Unexpected Fangs","Ikoria: Lair of Behemoths","C","102","Black","Near Mint","3"
"Nightmare Token","Theros Beyond Death","T","12","","Near Mint","1"
"Fabled Passage","Throne of Eldraine","R","244","Colorless","Near Mint","1"
"Hushbringer","Throne of Eldraine","R","18","White","Near Mint","1"
"Faerie Miscreant","Core Set 2020","C","58","Blue","Near Mint","1"
"Thunderkin Awakener","Core Set 2020","R","162","Red","Near Mint","1"
"Parhelion II","War of the Spark","R","24","White","Near Mint","1"
"Growth Spiral","Ravnica Allegiance","C","178","Blue;Green","Near Mint","1"
"Resolute Watchdog","Ravnica Allegiance","U","19","White","Near Mint","2"
"Electrostatic Field","Guilds of Ravnica","U","97","Red","Near Mint","2"
"Guild Summit","Guilds of Ravnica","U","41","Blue","Near Mint","1"
"Murmuring Mystic","Guilds of Ravnica","U","45","Blue","Near Mint","1"
"Vicious Rumors","Guilds of Ravnica","C","89","Black","Near Mint","1"
"Song of Freyalise","Dominaria","U","179","Green","Near Mint","1"
"The Eldest Reborn","Dominaria","U","90","Black","Near Mint","1"
"Reckless Rage","Rivals of Ixalan","U","110","Red","Near Mint","1"
"Deadeye Quartermaster","Ixalan","U","50","Blue","Near Mint","1"
"Firebrand Archer","Hour of Devastation","C","92","Red","Near Mint","1"
"Construct Token (003)","Kaladesh","T","3","Colorless","Near Mint","1"
"Conduit of Ruin","Battle for Zendikar","R","4","Colorless","Near Mint","1"
"Dark Deal","Fate Reforged","U","66","Black","Near Mint","1"
"Silence","Magic 2014 (M14)","R","35","White","Near Mint","1"
"Assemble the Legion","Gatecrash","R","142","Red;White","Near Mint","1"
"Legion Loyalist","Gatecrash","R","97","Red","Near Mint","1"
"Thrull Parasite","Gatecrash","U","81","Black","Near Mint","2"
"Artful Dodge","Dark Ascension","C","27","Blue","Near Mint","1"
"Ghoulcaller's Chant","Innistrad","C","101","Black","Near Mint","1"
"Flesh-Eater Imp","Mirrodin Besieged","U","42","Black","Near Mint","1"
"Fire Servant","Magic 2011 (M11)","U","137","Red","Near Mint","1"
"Llanowar Elves","Magic 2011 (M11)","C","184","Green","Near Mint","1"
"Flame Slash","Rise of the Eldrazi","C","145","Red","Near Mint","1"
"Primal Bellow","Zendikar","U","176","Green","Near Mint","1"
"Spidersilk Net","Zendikar","C","206","Colorless","Near Mint","2"
"Overrun","Magic 2010 (M10)","U","198","Green","Near Mint","1"
"Qasali Ambusher","Shards of Alara","U","184","Green;White","Near Mint","1"
"Barrenton Medic","Shadowmoor","C","4","White","Near Mint","1"
"Rune Snag","Coldsnap","C","46","Blue","Near Mint","1"
"Predatory Focus","Guildpact","U","92","Green","Near Mint","1"
"Magnetic Theft","Fifth Dawn","U","74","Red","Near Mint","1"
"Steelshaper's Gift","Fifth Dawn","U","19","White","Near Mint","1"
"Branchsnap Lorian","Legions","U","118","Green","Near Mint","1"
"Elvish Scrapper","Onslaught","U","258","Green","Near Mint","1"
"Aquamoeba","Torment","C","24","Blue","Near Mint","1"
"Crown of Flames","Invasion","C","142","Red","Near Mint","1"
"Overburden","Prophecy","R","","Blue","Near Mint","1"
"Counterspell","Tempest","C","57","Blue","Near Mint","1"
"Blue Elemental Blast","Fourth Edition","C","","Blue","Near Mint","2"
"Island","Battlebond","L","251","Colorless","Near Mint","1"
"Misdirection","Conspiracy","R","102","Blue","Near Mint","1"
"Mnemonic Deluge","Commander Legends","M","82","Blue","Near Mint","1"
"Relentless Assault","Commander Legends","R","416","Red","Near Mint","1"
"Reshape the Earth","Commander Legends","M","249","Green","Near Mint","1"
"Myojin of Cryptic Dreams","Commander: Kamigawa: Neon Dynasty","R","33","Blue","Near Mint","1"
"Mirage Phalanx (Extended Art)","Commander: Innistrad: Crimson Vow","R","73","Red","Near Mint","1"
"Thundering Mightmare","Commander: Innistrad: Crimson Vow","R","37","Green","Near Mint","1"
"Thundering Mightmare (Extended Art)","Commander: Innistrad: Crimson Vow","R","75","Green","Near Mint","1"
"Robe of Stars","Commander: Adventures in the Forgotten Realms","R","11","Colorless","Near Mint","1"
"Simic Growth Chamber","Commander 2021","U","317","Colorless","Near Mint","1"
"Devastation Tide","Commander 2018","R","85","Blue","Near Mint","1"
"Heavenly Blademaster","Commander 2018","R","3","White","Near Mint","1"
"Loyal Drake","Commander 2018","U","10","Blue","Near Mint","1"
"Curse of Shallow Graves","Commander 2013","U","71","Black","Near Mint","1"
"Tempt with Vengeance","Commander 2013","R","125","Red","Near Mint","1"
"Doubling Season","Commander Masters","M","283","Green","Near Mint","1"
"Sai, Master Thopterist","Commander Masters","R","118","Blue","Near Mint","1"
"Terramorphic Expanse","Ultimate Masters","C","252","Colorless","Near Mint","1"
"Plague Wind","Masters 25","R","102","Black","Near Mint","1"
"Ghostly Flicker","Modern Masters 2017","C","39","Blue","Near Mint","1"
"Frogmite","Modern Masters","C","207","Colorless","Near Mint","1"
"Crashing Footfalls","Modern Horizons","R","160","","Near Mint","2"
"Aetherize (Retro Frame)","Ravnica Remastered","U","448","Blue","Near Mint","1"
"Debt to the Deathless (Retro Frame)","Ravnica Remastered","U","364","Black;White","Near Mint","1"
"Protean Hulk (Anime Borderless)","Ravnica Remastered","M","435","Green","Near Mint","1"
"Forest (410) (Retro Frame)","Dominaria Remastered","L","410","Colorless","Near Mint","1"
"Ancient Stirrings","Time Spiral: Remastered","S","355","Green","Near Mint","1"
"Gray Merchant of Asphodel","Time Spiral: Remastered","S","323","Black","Near Mint","1"
"Kiki-Jiki, Mirror Breaker","Time Spiral: Remastered","S","346","Red","Near Mint","1"
"Ponder","Time Spiral: Remastered","S","315","Blue","Near Mint","1"
"Don't Move (Borderless)","Universes Beyond: Jurassic World Collection","R","1","White","Near Mint","1"
"Boromir, Warden of the Tower (Showcase)","Universes Beyond: The Lord of the Rings: Tales of Middle-earth","R","302","White","Near Mint","1"
"Forge Anew","Universes Beyond: The Lord of the Rings: Tales of Middle-earth","R","17","White","Near Mint","1"
"Horn of Gondor","Universes Beyond: The Lord of the Rings: Tales of Middle-earth","R","240","Colorless","Near Mint","2"
"Esper Charm","The List Reprints","U","179","Black;Blue;White","Near Mint","1"
