Set,Quantity,Product Name,Condition,Product Line,Number,Rarity,Main Photo URL,Set Release Date
Outlaws of Thunder Junction,1.0,Lush Oasis,Near Mint,Magic,261.0,L,,4/19/2024 12:00:00 AM
Innistrad: Midnight Hunt,1.0,"Lier, Disciple of the Drowned (Showcase)",Near Mint,Magic,313.0,M,,9/24/2021 12:00:00 AM
Strixhaven: School of Mages,1.0,Blade Historian,Near Mint,Magic,165.0,R,,4/23/2021 12:00:00 AM
Kaldheim,1.0,"Halvar, God of Battle",Near Mint,Magic,15.0,M,,2/5/2021 12:00:00 AM
Ravnica Allegiance,1.0,Dagger Caster,Near Mint,Magic,97.0,U,,1/25/2019 12:00:00 AM
Ravnica Allegiance,1.0,Trollbred Guardian,Near Mint,Magic,148.0,U,,1/25/2019 12:00:00 AM
Core Set 2019,1.0,"Sarkhan, Fireblood",Near Mint,Magic,154.0,M,,7/13/2018 12:00:00 AM
Ixalan,3.0,Tempest Caller,Near Mint,Magic,86.0,U,,9/29/2017 12:00:00 AM
Ixalan,2.0,Vicious Conquistador,Lightly Played,Magic,128.0,U,,9/29/2017 12:00:00 AM
Amonkhet,1.0,Manglehorn,Near Mint,Magic,175.0,U,,4/28/2017 12:00:00 AM
Shadows over Innistrad,1.0,Rancid Rats,Near Mint,Magic,130.0,C,,4/8/2016 12:00:00 AM
Battle for Zendikar,1.0,Forest (270) - Full Art,Near Mint,Magic,270.0,L,,10/2/2015 12:00:00 AM
Battle for Zendikar,1.0,Forest (271) - Full Art,Near Mint,Magic,271.0,L,,10/2/2015 12:00:00 AM
Dragons of Tarkir,1.0,Ancestral Statue,Near Mint,Magic,234.0,C,,3/27/2015 12:00:00 AM
Return to Ravnica,1.0,Axebane Guardian,Near Mint,Magic,115.0,C,,10/5/2012 12:00:00 AM
Magic 2013 (M13),1.0,Farseek,Near Mint,Magic,170.0,C,,7/13/2012 12:00:00 AM
Dark Ascension,4.0,Undying Evil,Near Mint,Magic,77.0,C,,2/3/2012 12:00:00 AM
Innistrad,1.0,Bloodline Keeper,Near Mint,Magic,90.0,R,,9/30/2011 12:00:00 AM
Innistrad,2.0,Infernal Plunge,Lightly Played,Magic,148.0,C,,9/30/2011 12:00:00 AM
Magic 2012 (M12),2.0,Bloodrage Vampire,Near Mint,Magic,83.0,C,,7/15/2011 12:00:00 AM
Zendikar,2.0,Feast of Blood,Near Mint,Magic,88.0,U,,10/2/2009 12:00:00 AM
Zendikar,2.0,Feast of Blood,Lightly Played,Magic,88.0,U,,10/2/2009 12:00:00 AM
Zendikar,4.0,Vampire's Bite,Near Mint,Magic,117.0,C,,10/2/2009 12:00:00 AM
Eventide,1.0,Jawbone Skulkin,Near Mint,Magic,170.0,C,,7/25/2008 12:00:00 AM
Shadowmoor,1.0,Tatterkite,Near Mint,Magic,264.0,U,,5/2/2008 12:00:00 AM
Planeshift,1.0,Thornscape Familiar,Near Mint,Magic,95.0,C,,2/5/2001 12:00:00 AM
Commander Legends: Battle for Baldur's Gate,1.0,Charcoal Diamond,Near Mint,Magic,305.0,C,,6/10/2022 12:00:00 AM
Commander: Phyrexia: All Will Be One,1.0,Skyhunter Strike Force (Extended Art),Near Mint,Magic,31.0,R,,2/3/2023 12:00:00 AM
Iconic Masters,1.0,Manakin,Near Mint,Magic,218.0,C,,11/17/2017 12:00:00 AM
Modern Horizons 2,1.0,Arcbound Mouser,Near Mint,Magic,3.0,C,,6/19/2021 12:00:00 AM
Magic Origins,1.0,Ghirapur Aether Grid,Lightly Played,Magic,148.0,U,,7/17/2015 12:00:00 AM
Scars of Mirrodin,1.0,Plague Stinger,Lightly Played,Magic,75.0,C,,10/1/2010 12:00:00 AM
Onslaught,1.0,Brightstone Ritual,Heavily Played,Magic,191.0,C,,10/7/2002 12:00:00 AM
