Quantity,Name,Set,Foil,Condition,Language,SKU,Price,Lot
1,Spider Token,Theros Beyond Death,Normal,Lightly Played,English,4317083,0.18,0.0
1,"Voja, Friend to Elves Token",War of the Spark,Normal,Near Mint,Japanese,4037550,0.23,0.0
1,"Checklist Card - Core Set 2019 (Nicol Bolas, the Ravager)",Core Set 2019,Normal,Lightly Played,English,3771728,0.12,0.0
1,Island (338),8th Edition,Normal,Lightly Played,English,372935,0.23,0.0
1,Swamp (260),Return to Ravnica,Foil,Lightly Played Foil,English,1043149,0.27,0.0
1,Forest (270) - Full Art,Battle for Zendikar,Normal,Lightly Played,Japanese,2981739,0.5,0.0
1,Servo Token,War of the Spark,Normal,Near Mint,Japanese,4032050,0.2,0.0
1,Soldier Token,War of the Spark,Normal,Near Mint,Japanese,4032750,0.29,0.0
3,Gateway Plaza,War of the Spark,Normal,Near Mint,Japanese,4020125,0.39,0.0
2,Guild Globe,War of the Spark,Normal,Near Mint,Japanese,4021825,0.39,0.0
1,Purge the Profane,Gatecrash,Foil,Lightly Played Foil,English,1069174,0.11,20.0
1,Squall Drifter,Coldsnap,Normal,Lightly Played,English,375290,0.1,20.0
1,Scale Blessing,Dragons of Tarkir,Foil,Lightly Played Foil,English,2743035,0.21,20.0
1,Glass Casket,Throne of Eldraine,Normal,Lightly Played,English,4194620,0.14,20.0
1,So Tiny,Throne of Eldraine,Foil,Lightly Played Foil,English,4207299,0.1,20.0
1,Stream of Consciousness,Ultimate Masters,Foil,Lightly Played Foil,English,3916463,0.18,20.0
1,Rakshasa Gravecaller,Dragons of Tarkir,Foil,Lightly Played Foil,English,2743565,0.45,20.0
1,Revenant,Magic Origins,Foil,Lightly Played Foil,English,2900442,0.13,20.0
1,Covenant of Blood,Magic 2015 (M15),Foil,Lightly Played Foil,English,1226487,0.3,20.0
1,Pyromancer's Assault,Oath of the Gatewatch,Foil,Lightly Played Foil,English,3043096,0.12,20.0
1,Ghitu Slinger,Urza's Legacy,Normal,Lightly Played,English,369094,0.16,20.0
1,Gloomwidow,Shadows over Innistrad,Foil,Lightly Played Foil,English,3102642,0.2,20.0
1,Gloomwidow,Shadows over Innistrad,Foil,Lightly Played Foil,English,3102642,0.2,20.0
1,Angelic Purge,Mystery Booster Cards,Normal,Near Mint,English,4266352,0.16,24.0
1,Thrashing Brontodon,Rivals of Ixalan,Normal,Lightly Played,English,3570025,0.1,25.0
3,Sleeper's Guile,Urza's Legacy,Normal,Lightly Played,English,369163,0.23,25.0
2,Riptide Turtle,Theros Beyond Death,Foil,Lightly Played Foil,English,4314214,0.33,25.0
1,Proud Mentor,Battlebond,Foil,Near Mint Foil,English,3748747,0.24,25.0
1,Beckon Apparition,Ultimate Masters,Foil,Lightly Played Foil,English,3915853,0.27,25.0
1,Dovin's Automaton,Ravnica Allegiance,Normal,Lightly Played,English,3946808,0.15,25.0
1,Spectral Searchlight,Battlebond,Foil,Lightly Played Foil,English,3751525,0.42,25.0
1,Plains (42),Duel Decks: Knights vs. Dragons,Normal,Lightly Played,English,468647,0.19,25.0
2,Vow of Duty,Conspiracy,Normal,Lightly Played,English,1187811,0.1,28.0
1,Plains (38),Duel Decks: Sorin vs. Tibalt,Normal,Lightly Played,English,1076035,0.14,33.0
1,Goblin Cavaliers,Portal Second Age,Normal,Lightly Played,English,363398,0.1,33.0
1,Wall of Brambles,Revised Edition,Normal,Lightly Played,English,364688,0.19,34.0
1,"Kaya, Bane of the Dead (JP Alternate Art)",War of the Spark,Normal,Lightly Played,Japanese,4007814,0.63,35.0
1,Stangg,Masters 25,Foil,Lightly Played,English,3611206,0.27,35.0
1,Bolas's Citadel,War of the Spark,Normal,Lightly Played,Japanese,4013376,1.35,35.0
1,Dragonsoul Knight,Modern Masters 2015,Foil,Lightly Played,English,2879963,0.12,35.0
1,Rally of Wings,War of the Spark,Foil,Lightly Played,English,4001831,0.73,35.5
1,Citizen Token,Ultimate Masters,Normal,Lightly Played,English,3922242,0.11,35.5
3,Steel Leaf Paladin,Planeshift,Normal,Lightly Played,English,370608,0.11,40.0
1,Disenchant,Fifth Edition,Normal,Lightly Played,English,365176,0.1,40.0
1,Angelic Armaments,Avacyn Restored,Normal,Lightly Played,English,871832,0.1,41.0
2,Dovin's Automaton,Ravnica Allegiance,Normal,Lightly Played,English,3946808,0.15,41.0
2,Escape Routes,Planeshift,Normal,Lightly Played,English,370522,0.13,41.0
