Quantity,Name,Set,Foil,Condition,Language,SKU,Price,Lot
1,Rivendell,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,Normal,Near Mint,English,7190363,$1.15,0
1,Council's Deliberation,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,Normal,Near Mint,English,7179706,$0.2,0
1,Bewitching Leechcraft,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,Foil,Near Mint,English,7215773,$0.2,0
1,Last March of the Ents (Borderless),Universes Beyond: The Lord of the Rings: Tales of Middle-earth,Normal,Near Mint,English,7175880,$15.07,0
1,Generous Ent,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,Normal,Near Mint,English,7166075,$0.25,0
2,Lorien Revealed,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,Normal,Near Mint,English,7216698,$0.24,0
1,"Elrond, Lord of Rivendell (Showcase)",Universes Beyond: The Lord of the Rings: Tales of Middle-earth,Normal,Near Mint,English,7189083,$0.19,0
2,Entish Restoration,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,Normal,Near Mint,English,7190493,$0.94,0
1,"Elrond, Lord of Rivendell",Universes Beyond: The Lord of the Rings: Tales of Middle-earth,Foil,Near Mint,English,7189008,$0.25,0
1,Arwen Undomiel,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,Normal,Near Mint,English,7195577,$0.2,0
1,Dawn of a New Age,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,Normal,Near Mint,English,7211963,$6.52,0
1,Plains (0272),Universes Beyond: The Lord of the Rings: Tales of Middle-earth,Normal,Near Mint,English,7027577,$0.44,0
2,The Bath Song,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,Normal,Near Mint,English,7185626,$0.23,0
1,"Goldberry, River-Daughter",Universes Beyond: The Lord of the Rings: Tales of Middle-earth,Normal,Near Mint,English,7194394,$0.56,0
1,The Ring Goes South,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,Normal,Near Mint,English,7189803,$0.49,0
3,The Ring Helper Card,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,Normal,Near Mint,English,7150357,$0.22,0
2,Food Token (0009),Universes Beyond: The Lord of the Rings: Tales of Middle-earth,Normal,Near Mint,English,7219934,$0.19,0
1,Spirit Token,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,Normal,Near Mint,English,7220174,$0.23,0
2,Claim the Precious,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,Normal,Near Mint,English,7196752,$0.2,0
1,"Smeagol, Helpful Guide",Universes Beyond: The Lord of the Rings: Tales of Middle-earth,Normal,Near Mint,English,7193974,$0.55,0
1,Troll of Khazad-dum,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,Normal,Near Mint,English,7185050,$0.23,0
1,Council's Deliberation,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,Normal,Near Mint,English,7179706,$0.2,0
1,Bewitching Leechcraft,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,Foil,Near Mint,English,7215773,$0.2,0
1,"Elrond, Lord of Rivendell (Showcase)",Universes Beyond: The Lord of the Rings: Tales of Middle-earth,Normal,Near Mint,English,7189083,$0.19,0
1,"Smeagol, Helpful Guide",Universes Beyond: The Lord of the Rings: Tales of Middle-earth,Normal,Near Mint,English,7193974,$0.55,0
1,Genesis Chamber,Darksteel,Normal,Lightly Played,English,373276,$3.05,0
1,Dragon's Claw,Darksteel,Normal,Near Mint,English,23706,$0.34,0
1,Simic Guildmage,Dissension,Normal,Near Mint,English,25547,$0.35,0
1,Ballista Charger,Kaladesh,Normal,Near Mint,English,3203632,$0.25,0
2,Packsong Pup,Innistrad: Crimson Vow,Normal,Near Mint,English,5258915,$0.25,0
2,Aradara Express,Kaladesh,Normal,Near Mint,English,3203622,$0.2,0
1,Critical Hit,Adventures in the Forgotten Realms,Normal,Near Mint,English,5064050,$0.23,0
1,Boots of Speed,Adventures in the Forgotten Realms,Normal,Near Mint,English,5078920,$0.2,0
1,"Mina and Denn, Wildborn",Oath of the Gatewatch,Normal,Near Mint,English,3043347,$0.58,0
1,"Tyvar, Jubilant Brawler",Phyrexia: All Will Be One,Normal,Near Mint,English,6930158,$1.08,0
1,Thorn of Amethyst (Schematic),The Brothers' War: Retro Frame Artifacts,Normal,Near Mint,English,6673217,$0.47,0
1,"Hajar, Loyal Bodyguard",Promo Pack: The Brothers' War,Normal,Near Mint,English,6730304,$0.71,0
1,Misery's Shadow,The Brothers' War,Foil,Near Mint,English,6708527,$0.56,0
