Set,Condition,Name,Price,Lot,Date,ShipType
,Near Mint,Retreat to Valakut,0.15,54.0,2021-11-14,
,Near Mint,Retreat to Valakut,0.15,54.0,2021-11-14,
,Near Mint,Down // Dirty,0.0,-1.0,2021-11-14,
,Near Mint,Self-Inflicted Wound,0.14,51.0,2021-11-14,
,Near Mint,Self-Inflicted Wound,0.14,51.0,2021-11-14,
,Near Mint,Pit Fight,0.0,-1.0,2021-11-14,
,Near Mint,Butcher's Cleaver,0.0,-1.0,2021-11-14,
,Near Mint,Civilized Scholar,0.0,-1.0,2021-11-14,
,Near Mint,Civilized Scholar,0.0,-1.0,2021-11-14,
,Near Mint,Make a Wish,0.0,-1.0,2021-11-14,
,Near Mint,Emblem - Dovin Baan,0.0,-1.0,2021-11-14,
,Near Mint,Garruk's Packleader,0.24,37.0,2021-11-14,
,Near Mint,Garruk's Packleader,0.0,-1.0,2021-11-14,
,Near Mint,Garruk's Packleader,0.0,-1.0,2021-11-14,
,Near Mint,Exclude,0.15,44.0,2021-11-14,
,Near Mint,Exclude,0.13,25.0,2021-11-14,
,Near Mint,Lobber Crew,0.14,51.0,2021-11-14,
,Near Mint,Lobber Crew,0.14,51.0,2021-11-14,
,Near Mint,Lobber Crew,0.14,51.0,2021-11-14,
,Lightly Played,Lure,0.09,17.0,2021-11-14,
,Lightly Played,Lim-Dul's High Guard,0.12,41.0,2021-11-14,
,Lightly Played,Kazandu Refuge,0.0,0.0,2021-11-14,
,Near Mint,Benthic Infiltrator,0.1,25.0,2021-11-16,
,Near Mint,Swarm of Bloodflies,0.1,35.0,2021-11-16,
,Near Mint,Phyrexian Gargantua,0.11,39.0,2021-11-16,
,Near Mint,Evolving Wilds,0.27,25.0,2021-11-16,
,Near Mint,Evolving Wilds,0.27,25.0,2021-11-16,
,Near Mint,Gruul Cluestone,0.09,0.0,2021-11-16,
,Near Mint,Crowned Ceratok,0.13,51.0,2021-11-16,
,Near Mint,Whirlermaker,0.11,35.0,2021-11-16,
,Near Mint,Feat of Resistance,0.13,0.0,2021-11-16,
,Near Mint,Bubbling Cauldron,0.14,20.0,2021-11-16,
,Near Mint,Bubbling Cauldron,0.14,20.0,2021-11-16,
,Near Mint,Congregate,0.11,41.0,2021-11-16,
,Near Mint,Silverskin Armor,0.1,25.0,2021-11-16,
,Near Mint,Silverskin Armor,0.1,25.0,2021-11-16,
,Near Mint,Silverskin Armor,0.1,25.0,2021-11-16,
,Near Mint,Evolving Wilds,0.16,0.0,2021-11-16,
,Near Mint,Warteye Witch,0.16,30.0,2021-11-16,
,Near Mint,Simplify,0.19,46.0,2021-11-16,
,Near Mint,Lobber Crew,0.14,51.0,2021-11-16,
,Near Mint,Root Out,0.0,-1.0,2021-11-16,
,Lightly Played,Grave Peril,0.08,43.0,2021-11-16,
,Lightly Played,Spore Frog,0.11,58.0,2021-11-16,
,Lightly Played,Maggot Carrier,0.14,41.0,2021-11-16,
,Lightly Played,Evolving Wilds,0.1,58.0,2021-11-16,
,Lightly Played,Evolving Wilds,0.1,58.0,2021-11-16,
,Lightly Played,Chromatic Star,0.32,58.0,2021-11-16,
,Lightly Played,Chromatic Star,0.32,58.0,2021-11-16,
,Lightly Played,Chromatic Star,0.32,58.0,2021-11-16,
,Lightly Played,Smoldering Spires,0.1,43.0,2021-11-16,
,Lightly Played,Walking Atlas,1.2,58.0,2021-11-16,
,Moderately Played,Anurid Barkripper,0.06,41.0,2021-11-16,
,Damaged,Rakdos Charm,0.27,47.0,2021-11-16,
,Near Mint Foil,Island,0.4,58.0,2021-11-16,
,Lightly Played Foil,Mantle of Tides,0.15,30.0,2021-11-16,
,Lightly Played Foil,Akroan Crusader,0.3,25.0,2021-11-16,
,Lightly Played Foil,Swamp,0.17,58.0,2021-11-16,
,Near Mint Unlimited,Mekanikal Arkfiend,0.0,-1.0,2021-11-16,
,Near Mint Unlimited,Dark Hole,0.0,-1.0,2021-11-16,
,Lightly Played 1st Edition,Call Of The Haunted,0.0,-1.0,2021-11-16,
,Near Mint,Sage Aven,0.05,46.0,2021-11-18,normal
,Near Mint,Roil Spout,0.08,55.0,2021-11-18,normal
,Near Mint,Swarm of Bloodflies,0.1,25.0,2021-11-18,normal
,Near Mint,Noble Quarry,0.14,0.0,2021-11-18,normal
,Near Mint,Blaze Commando,0.0,-1.0,2021-11-18,normal
,Near Mint,Species Gorger,0.0,-1.0,2021-11-18,normal
,Near Mint,Species Gorger,0.0,-1.0,2021-11-18,normal
,Near Mint,Memory Lapse,0.15,55.0,2021-11-18,normal
,Near Mint,Extract from Darkness,0.24,38.0,2021-11-18,normal
,Near Mint,Coerced Confession,0.12,54.0,2021-11-18,normal
,Near Mint,Elusive Krasis,0.04,20.0,2021-11-18,normal
,Near Mint,Demonmail Hauberk,0.15,35.0,2021-11-18,normal
,Near Mint,Demonmail Hauberk,0.0,-1.0,2021-11-18,normal
,Near Mint,Demonmail Hauberk,0.0,-1.0,2021-11-18,normal
,Near Mint,Demonmail Hauberk,0.0,-1.0,2021-11-18,normal
,Near Mint,Dusk Legion Dreadnought,0.12,54.0,2021-11-18,normal
,Near Mint,Ritual of Rejuvenation,0.0,-1.0,2021-11-18,normal
,Near Mint,Desperate Stand,0.16,53.0,2021-11-18,normal
,Near Mint,Acrobatic Maneuver,0.11,25.0,2021-11-18,normal
,Near Mint,Whirlermaker,0.12,25.0,2021-11-18,normal
,Near Mint,Acidic Slime,0.26,54.0,2021-11-18,normal
,Near Mint,Garruk's Packleader,0.0,-1.0,2021-11-18,normal
,Near Mint,Congregate,0.0,-1.0,2021-11-18,normal
,Near Mint,Shrivel,0.11,41.0,2021-11-18,normal
,Near Mint,Shrivel,0.15,20.0,2021-11-18,normal
,Near Mint,Shrivel,0.15,20.0,2021-11-18,normal
,Near Mint,Shrivel,0.15,20.0,2021-11-18,normal
,Near Mint,Shrivel,0.15,20.0,2021-11-18,normal
,Near Mint,Shrivel,0.15,20.0,2021-11-18,normal
,Near Mint,Shrivel,0.15,20.0,2021-11-18,normal
,Near Mint,Shrivel,0.15,20.0,2021-11-18,normal
,Near Mint,Shrivel,0.15,20.0,2021-11-18,normal
,Near Mint,Shrivel,0.15,20.0,2021-11-18,normal
,Near Mint,Amphin Pathmage,0.09,44.0,2021-11-18,normal
,Near Mint,Garruk's Packleader,0.19,47.0,2021-11-18,normal
,Near Mint,Azorius Justiciar,0.0,-1.0,2021-11-18,normal
,Lightly Played,Countless Gears Renegade,0.02,43.0,2021-11-18,normal
,Lightly Played,Cerodon Yearling,0.14,46.0,2021-11-18,normal
,Lightly Played,Godtracker of Jund,0.08,46.0,2021-11-18,normal
,Lightly Played,Ovalchase Daredevil,1.02,58.0,2021-11-18,normal
,Lightly Played,Ovalchase Daredevil,1.02,58.0,2021-11-18,normal
,Lightly Played,Ovalchase Daredevil,1.02,58.0,2021-11-18,normal
,Lightly Played,Ovalchase Daredevil,1.02,58.0,2021-11-18,normal
,Lightly Played,Battlewise Aven,0.05,43.0,2021-11-18,normal
,Lightly Played,Aven Envoy,0.04,43.0,2021-11-18,normal
,Lightly Played,Aven Envoy,0.04,43.0,2021-11-18,normal
,Lightly Played,Chimney Imp,0.03,43.0,2021-11-18,normal
