Set,Order
Kamigawa: Neon Dynasty,0
Innistrad: Crimson Vow,1
Innistrad: Midnight Hunt,2
Adventures in the Forgotten Realms,3
Strixhaven: School of Mages,4
Strixhaven: Mystical Archives,5
Kaldheim,6
Zendikar Rising,7
Core Set 2021,8
Ikoria: Lair of Behemoths,9
Theros Beyond Death,10
Throne of Eldraine,11
Core Set 2020,12
War of the Spark,13
Ravnica Allegiance,14
Guilds of Ravnica,15
Core Set 2019,16
Dominaria,17
Rivals of Ixalan,18
Ixalan,19
Hour of Devastation,20
Amonkhet,21
Aether Revolt,22
Kaladesh,23
Eldritch Moon,24
Shadows over Innistrad,25
Oath of the Gatewatch,26
Battle for Zendikar,27
Magic Origins,28
Dragons of Tarkir,29
Fate Reforged,30
Khans of Tarkir,31
Magic 2015 (M15),32
Journey Into Nyx,33
Born of the Gods,34
Theros,35
Magic 2014 (M14),36
Dragon's Maze,37
Gatecrash,38
Return to Ravnica,39
Magic 2013 (M13),40
Avacyn Restored,41
Dark Ascension,42
Innistrad,43
Magic 2012 (M12),44
New Phyrexia,45
Mirrodin Besieged,46
Scars of Mirrodin,47
Magic 2011 (M11),48
Rise of the Eldrazi,49
Worldwake,50
Zendikar,51
Magic 2010 (M10),52
Alara Reborn,53
Conflux,54
Shards of Alara,55
Eventide,56
Shadowmoor,57
Morningtide,58
Lorwyn,59
10th Edition,60
Future Sight,61
Planar Chaos,62
Timeshifted,63
Time Spiral,64
Coldsnap,65
Coldsnap Theme Deck Reprints,66
Dissension,67
Guildpact,68
Ravnica: City of Guilds,69
9th Edition,70
Saviors of Kamigawa,71
Betrayers of Kamigawa,72
Champions of Kamigawa,73
Fifth Dawn,74
Darksteel,75
Mirrodin,76
8th Edition,77
Scourge,78
Legions,79
Onslaught,80
Judgment,81
Torment,82
Odyssey,83
Apocalypse,84
Planeshift,85
Invasion,86
7th Edition,87
Prophecy,88
Nemesis,89
Mercadian Masques,90
Urza's Destiny,91
Urza's Legacy,92
Urza's Saga,93
Classic Sixth Edition,94
Exodus,95
Stronghold,96
Tempest,97
Fifth Edition,98
Weatherlight,99
Visions,100
Mirage,101
Alliances,102
Homelands,103
Ice Age,104
Fourth Edition,105
Fallen Empires,106
The Dark,107
Legends,108
Revised Edition,109
Antiquities,110
Arabian Nights,111
Unlimited Edition,112
Beta Edition,113
Alpha Edition,114
Unfinity,115
Unsanctioned,116
Unstable,117
Unhinged,118
Unglued,119
Portal Three Kingdoms,120
Portal Second Age,121
Portal,122
Chronicles,123
Anthologies,124
Battle Royale Box Set,125
Beatdown Box Set,126
Deckmasters Garfield vs Finkel,127
Starter 2000,128
Starter 1999,129
Duels of the Planeswalkers,130
Magic Game Night 2019,131
Magic Game Night,132
Explorers of Ixalan,133
Archenemy: Nicol Bolas,134
Archenemy,135
Planechase 2012,136
Planechase,137
Commander Anthology Volume II,138
Commander Anthology,139
Duel Decks: Anthology,140
Planechase Anthology,141
Jumpstart,142
Battlebond,143
Conspiracy: Take the Crown,144
Conspiracy,145
Commander Legends,146
Commander: Kamigawa: Neon Dynasty,147
Commander: Innistrad: Crimson Vow,148
Commander: Innistrad: Midnight Hunt,149
Commander: Adventures in the Forgotten Realms,150
Commander 2021,151
Commander: Kaldheim,152
Commander: Zendikar Rising,153
Commander 2020,154
Commander 2019,155
Commander 2018,156
Commander 2017,157
Commander 2016,158
Commander 2015,159
Commander 2014,160
Commander 2013,161
Commander,162
Double Masters,163
Ultimate Masters,164
Masters 25,165
Iconic Masters,166
Eternal Masters,167
Modern Masters 2017,168
Modern Masters 2015,169
Modern Masters,170
Modern Horizons 2,171
Modern Horizons,172
Innistrad: Double Feature,173
Time Spiral: Remastered,174
The List,175
Mystery Booster Cards,176
Mystery Booster: Retail Exclusives,177
Mystery Booster: Convention Edition Exclusives,178
Global Series Jiang Yanggu & Mu Yanling,179
Ravnica Allegiance: Guild Kits,180
Guilds of Ravnica: Guild Kits,181
Duel Decks: Elves vs. Inventors,182
Duel Decks: Merfolk vs. Goblins,183
Duel Decks: Mind vs. Might,184
Duel Decks: Nissa vs. Ob Nixilis,185
Duel Decks: Blessed vs. Cursed,186
Duel Decks: Zendikar vs. Eldrazi,187
Duel Decks: Elspeth vs. Kiora,188
Duel Decks: Speed vs. Cunning,189
Duel Decks: Jace vs. Vraska,190
Duel Decks: Heroes vs. Monsters,191
Duel Decks: Sorin vs. Tibalt,192
Duel Decks: Izzet vs. Golgari,193
Duel Decks: Venser vs. Koth,194
Duel Decks: Ajani vs. Nicol Bolas,195
Duel Decks: Knights vs. Dragons,196
Duel Decks: Elspeth vs. Tezzeret,197
Duel Decks: Phyrexia vs. the Coalition,198
Duel Decks: Garruk vs. Liliana,199
Duel Decks: Divine vs. Demonic,200
Duel Decks: Jace vs. Chandra,201
Duel Decks: Elves vs. Goblins,202
Signature Spellbook: Chandra,203
Signature Spellbook: Gideon,204
Signature Spellbook: Jace,205
Commander Collection: Black,206
Commander Collection: Green,207
Commander's Arsenal,208
Magic Modern Event Deck,209
From the Vault: Transform,210
From the Vault: Lore,211
From the Vault: Angels,212
From the Vault: Annihilation,213
From the Vault: Twenty,214
From the Vault: Realms,215
From the Vault: Legends,216
From the Vault: Relics,217
From the Vault: Exiled,218
From the Vault: Dragons,219
Premium Deck Series: Graveborn,220
Premium Deck Series: Fire and Lightning,221
Premium Deck Series: Slivers,222
Art Series: Kamigawa: Neon Dynasty,223
Art Series: Innistrad: Crimson Vow,224
Art Series: Innistrad: Midnight Hunt,225
Art Series: Adventures in the Forgotten Realms,226
Art Series: Modern Horizons 2,227
Art Series: Strixhaven,228
Art Series: Kaldheim,229
Art Series: Zendikar Rising,230
Art Series: Modern Horizons,231
AFR Ampersand Promos,232
APAC Lands,233
Arena Promos,234
Buy-A-Box Promos,235
Champs Promos,236
Duel Decks,237
